,t,population_end_time,samples,epsilon,particles
0,-1,2020-12-28 02:14:16.533400,1536,inf,1
1,0,2020-12-28 02:18:19.811814,3749,22457459.41543061,1000
2,1,2020-12-28 02:22:15.450235,54941,22433833.929431107,1000
3,2,2020-12-28 02:25:09.295729,47777,22407309.044704434,1000
4,3,2020-12-28 02:26:58.367028,23586,21889531.953892745,1000
5,4,2020-12-28 02:28:40.000676,5195,14625239.583384244,1000
6,5,2020-12-28 02:30:58.691731,5437,5828318.569643714,1000
7,6,2020-12-28 02:33:51.334457,5998,2206319.411613885,1000
8,7,2020-12-28 02:39:10.877173,10895,1057277.1946367514,1000
9,8,2020-12-28 02:44:54.141612,11293,654681.1641085324,1000
10,9,2020-12-28 02:49:33.766383,9650,382355.47464286577,1000
11,10,2020-12-28 02:52:30.535959,6260,240474.50539865764,1000
12,11,2020-12-28 02:55:46.510737,8251,158553.72591622648,1000
13,12,2020-12-28 02:59:13.091553,8289,105869.29317005581,1000
14,13,2020-12-28 03:02:42.146558,9458,71022.30783814288,1000
15,14,2020-12-28 03:06:10.962179,9550,47341.003651392435,1000
16,15,2020-12-28 03:10:07.743988,10680,31122.260953457313,1000
17,16,2020-12-28 03:13:49.620466,10652,20760.006043730424,1000
18,17,2020-12-28 03:20:51.420961,20397,13960.202763261297,1000
19,18,2020-12-28 03:27:18.986790,19218,10204.628236815965,1000
20,19,2020-12-28 03:32:05.355597,14625,7360.511442241973,1000
21,20,2020-12-28 03:37:59.813473,18147,5689.204260859514,1000
22,21,2020-12-28 03:45:54.929684,24233,4622.073452484921,1000
23,22,2020-12-28 03:54:58.366829,26975,3677.510790898858,1000
24,23,2020-12-28 04:09:29.144753,43568,2966.507374174549,1000
25,24,2020-12-28 04:26:27.139819,49869,2479.446223956982,1000
26,25,2020-12-28 04:52:49.715470,77944,2033.1304667304287,1000
27,26,2020-12-28 05:28:18.295611,104947,1641.7082765005196,1000
28,27,2020-12-28 06:02:54.828569,101309,1405.0952025223992,1000
29,28,2020-12-28 06:40:41.608400,109847,1202.6087006724288,1000
30,29,2020-12-28 07:11:22.493773,88974,1048.458156348162,1000
31,30,2020-12-28 07:54:20.855338,126390,912.1529445781475,1000
32,31,2020-12-28 09:27:50.379323,285234,754.4470035938998,1000
33,32,2020-12-28 10:07:20.555715,117355,665.6206137392054,1000
